Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
"Краска Milq Kitchen & Gallery Extra Intense база А 0,9 л",Остаток Астана: 2 шт,17 100 KZT,00-00009791-09,Milq,Россия,"0,9 л"
Краска LAQUE MATE в/э мат. база натуральная 10л,Остаток Алматы: 2 шт,285 000 KZT,ALMN10,Argile,Франция,10 л
"Краска в/э матовая влагостойкая база бесцветная 0,75л, Architect Matt , Paint&Paper Library",Остаток Алматы: 2 шт,37 110 KZT,PLAT075,PPL(Paint&Paper Library),Англия,"0,75 л"
"Краска в/э акриловая полуматовая, б. э-темная 2,5л, Architects Satinwood, Paint&Paper Library",Остаток Алматы: 2 шт,96 580 KZT,PLASE25,PPL(Paint&Paper Library),Англия,"2,5 л"
"Акриловая полуматовая краска, ARGILE SATIN COUVRANT, база светлая, 2,5л",Остаток Алматы: 2 шт,60 530 KZT,ASCP25,Argile,Франция,"2,5 л"
"Swiss Lake Intense Resistance Plus база C 0,9 л",Остаток Алматы: 2 шт,26 700 KZT,СН000023327-09,Swiss Lake,Россия,"0,9 л"
"Краска Milq Absolute интерьерная износостойкая, база С 0,9 л",Остаток Астана: 2 шт,25 800 KZT,00-00012990-09,Milq,Россия,"0,9 л"
"Краска Milq Kitchen & Gallery Extra Intense база А 2,7 л",Остаток Астана: 2 шт,35 300 KZT,00-00009791-27,Milq,Россия,"2,7 л"
"Краска в/э акриловая полуматовая, б. темная 0,75л, Architects Satinwood, Paint&Paper Library (100131",Остаток Алматы: 2 шт,43 660 KZT,PLASD075,PPL(Paint&Paper Library),Англия,"0,75 л"
"Swiss Lake Intense Resistance Plus база C 2,7 л",Остаток Алматы: 2 шт,56 600 KZT,СН000023327-27,Swiss Lake,Россия,"2,7 л"
"Краска Сharmant Excellence матовая моющаяся акрил-уретановая  база С 0,9 л",Остаток Астана: 2 шт,36 900 KZT,00-00010122-09,Charmant,Россия,"0,9 л"
"Краска Milq Kitchen & Gallery Extra Intense база С 0,9 л",Остаток Алматы: 2 шт,17 100 KZT,00-00009790-09,Milq,Россия,"0,9 л"
"Краска в/э акриловая полуматовая, б. средняя 2,5л, Architects Satinwood, Paint&Paper Library",Остаток Алматы: 2 шт,96 580 KZT,PLASM25,PPL(Paint&Paper Library),Англия,"2,5 л"
"Краска Сharmant Solid глубокоматовая моющаяся акрил-уретановая  база С 2,7 л",Остаток Алматы: 2 шт,68 600 KZT,00-00010116-27,Charmant,Россия,"2,7 л"
Краска Dulux Professional BINDO 7 матовая BW 9л,Остаток Алматы: 1 шт,39 375 KZT,5302491,Dulux,Англия,9 л
"Краска Dulux Professional BINDO 7 матовая BC 0,9л",Остаток Алматы: 1 шт,7 270 KZT,5309524,Dulux,Англия,"0,9 л"
"Краска Dulux Professional BINDO 7 матовая BC 2,25л",Остаток Алматы: 1 шт,18 290 KZT,5309399,Dulux,Англия,"2,25 л"
"Краска Dulux Professional Diamond Max Protect мат BС 2,25л",Остаток Астана: 1 шт,42 550 KZT,5539701,Dulux,Англия,"2,25 л"
"Краска антивандальная интерьерная KELLY-MOORE DuraPoxy (цвет- neutral base, matte), банка 0,946л",Остаток Алматы: 1 шт,29 000 KZT,1600-555-1Q,KELLY-MOORE,Америка,"0,946 л"
"Краска Dulux Professional BINDO 3 глубокоматовая BW 2,5л",Остаток Астана: 1 шт,15 110 KZT,5309064,Dulux,Англия,"2,5 л"
"Краска в/э матовая Veloute база T412, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT412075,Argile,Франция,"0,75 л"
"MAESTRO Интерьерная классика BW  2,5",Остаток Алматы: 1 шт,5 630 KZT,5183686,Marshall,Турция,"2,5 л"
"Swiss Lake Wall Comfort 7 база C 0,9 л",Остаток Алматы: 1 шт,24 300 KZT,СН000022746-09,Swiss Lake,Россия,"0,9 л"
"MASTER LUX AQUA 40 BW (белый)  2,5",Остаток Астана: 1 шт,27 910 KZT,5246547,Dulux,Англия,"2,5 л"
Краска LAQUE MATE в/э мат. база светлая 10л,Остаток Алматы: 1 шт,285 000 KZT,ALMP10,Argile,Франция,10 л
Краска в/э матовая Veloute база натуральная 0.75л,Остаток Алматы: 1 шт,36 750 KZT,AMVN075,Argile,Франция,"0,75 л"
"Краска Сharmant Majestic полуматовая акрил-уретановая для влажных помещений  база А 0,9 л",Остаток Алматы: 1 шт,42 000 KZT,00-00010117-09,Charmant,Россия,"0,9 л"
Swiss Lake Краска водно-дисперсионная Matt Pro Swiss Lake база А 9 л,Остаток Алматы: 1 шт,177 700 KZT,00-00008705-90,Swiss Lake,Россия,9 л
"Краска в/э матовая влагостойкая база белая 2,5л, Architect Matt , Paint&Paper Library",Остаток Алматы: 1 шт,69 050 KZT,PLAR25,PPL(Paint&Paper Library),Англия,"2,5 л"
"Краска профессиональная интерьерная KELLY-MOORE Premium Prof (цвет- neutral base, flat), банка0,946л",Остаток Алматы: 1 шт,19 550 KZT,1005-5-1Q,KELLY-MOORE,Америка,"0,946 л"
"Акриловая полуматовая краска, ARGILE SATIN COUVRANT, база светлая, 5л",Остаток Алматы: 1 шт,107 916 KZT,ASCP5,Argile,Франция,5 л
Краска Milq Kitchen & Gallery Extra Intense база А 9 л,Остаток Астана: 1 шт,107 800 KZT,00-00009791-90,Milq,Россия,9 л
"Краска в/э акриловая матовая база бесцветная 0,75л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 1 шт,36 050 KZT,PLPFT075,PPL(Paint&Paper Library),Англия,"0,75 л"
"Краска LAQUE MATE в/э мат. база натуральная 0,75л",Остаток Алматы: 1 шт,42 070 KZT,ALMN075,Argile,Франция,"0,75 л"
Краска Сharmant Majestic полуматовая акрил-уретановая для влажных помещений  база А 9 л,Остаток Алматы: 1 шт,261 400 KZT,00-00010117-90,Charmant,Россия,9 л
"Краска профессиональная интерьерная KELLY-MOORE Premium Prof (white base, low sheen), банка 3,78л",Остаток Алматы: 1 шт,67 050 KZT,1007-1-1G,KELLY-MOORE,Америка,"3,78 л"
"Краска Сharmant Majestic полуматовая акрил-уретановая для влажных помещений  база А 2,7 л",Остаток Астана: 1 шт,83 600 KZT,00-00010117-27,Charmant,Россия,"2,7 л"
"Краска в/э матовая Veloute база T424, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT424075,Argile,Франция,"0,75 л"
"Краска Milq Absolute интерьерная износостойкая, база С 2,7 л",Остаток Астана: 1 шт,49 200 KZT,00-00012990-27,Milq,Россия,"2,7 л"
"Краска в/э матовая Veloute база T812, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT812075,Argile,Франция,"0,75 л"
"Краска в/э матовая Veloute база T142, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT142075,Argile,Франция,"0,75 л"
"Краска Сharmant Excellence матовая моющаяся акрил-уретановая  база А 2,7 л",Остаток Астана: 1 шт,73 700 KZT,00-00010121-27,Charmant,Россия,"2,7 л"
"Swiss Lake Краска водно-дисперсионная Matt Pro Swiss Lake база C 2,7 л",Остаток Алматы: 1 шт,56 100 KZT,00-00008706-27,Swiss Lake,Россия,"2,7 л"
"Краска в/э матовая Veloute база T133, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT133075,Argile,Франция,"0,75 л"
"Краска в/э матовая Veloute база T414, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT414075,Argile,Франция,"0,75 л"
"Краска в/э матовая Veloute база T814, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT814075,Argile,Франция,"0,75 л"
"Краска Luxium Prof Diamond Ext Matt глуб/мт BC4,5л",Остаток Алматы: 1 шт,72 340 KZT,50034529,LUXIUM,Англия,"4,5 л"
"Краска в/э матовая Veloute база T822, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT822075,Argile,Франция,"0,75 л"
"Краска Сharmant Sommet акрил-уретановая для стен и потолков  база А 0,9 л",Остаток Алматы: 1 шт,31 700 KZT,00-00010119-09,Charmant,Россия,"0,9 л"
"Swiss Lake Wall Comfort 7 база А 2,7 л",Остаток Алматы: 1 шт,48 000 KZT,СН000022805-27,Swiss Lake,Россия,"2,7 л"
"Swiss Lake Wall Comfort 7 база C 2,7 л",Остаток Алматы: 1 шт,48 000 KZT,СН000022746-27,Swiss Lake,Россия,"2,7 л"
